drug;hits;possible_hits;ndcg;recall;total_known_targets
D00035;0;0;nan;nan;0 
D00110;6;7;0.634442;0.857143;7 
D00136;0;10;0.000000;0.000000;10 
D00195;0;0;nan;nan;0 
D00219;1;1;0.630930;1.000000;1 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00228;2;10;0.305235;0.125000;16 
D00234;0;0;nan;nan;0 
D00252;4;4;1.000000;1.000000;4 
D00274;0;1;0.000000;0.000000;1 
D00283;0;0;nan;nan;0 
D00293;0;0;nan;nan;0 
D00294;1;1;1.000000;1.000000;1 
D00303;4;6;0.761887;0.666667;6 
D00319;8;10;0.797517;0.347826;23 
D00326;0;1;0.000000;0.000000;1 
D00329;1;1;1.000000;1.000000;1 
D00331;0;0;nan;nan;0 
D00332;0;10;0.000000;0.000000;21 
D00335;1;1;1.000000;1.000000;1 
D00336;1;4;0.390380;0.250000;4 
D00338;10;10;1.000000;0.666667;15 
D00340;0;0;nan;nan;0 
D00345;0;0;nan;nan;0 
D00349;1;1;0.386853;1.000000;1 
D00351;0;0;nan;nan;0 
D00354;5;10;0.554801;0.135135;37 
D00358;1;9;0.235046;0.111111;9 
D00364;0;0;nan;nan;0 
D00367;1;1;1.000000;1.000000;1 
D00373;0;1;0.000000;0.000000;1 
D00379;1;1;1.000000;1.000000;1 
D00380;1;1;1.000000;1.000000;1 
D00392;0;0;nan;nan;0 
D00394;2;2;0.797723;1.000000;2 
D00418;6;10;0.659480;0.083333;72 
D00437;0;1;0.000000;0.000000;1 
D00438;2;4;0.558508;0.500000;4 
D00451;0;0;nan;nan;0 
D00456;4;4;1.000000;1.000000;4 
D00464;10;10;1.000000;0.666667;15 
D00474;9;10;0.936379;0.529412;17 
D00477;2;10;0.314880;0.200000;10 
D00480;0;0;nan;nan;0 
D00495;0;0;nan;nan;0 
D00499;2;10;0.176300;0.200000;10 
D00504;0;0;nan;nan;0 
D00512;4;4;0.892754;1.000000;4 
D00513;0;0;nan;nan;0 
D00519;0;0;nan;nan;0 
D00521;0;0;nan;nan;0 
D00524;0;10;0.000000;0.000000;27 
D00528;1;10;0.085143;0.027778;36 
D00530;0;0;nan;nan;0 
D00533;6;6;0.798265;1.000000;6 
D00536;5;10;0.562193;0.161290;31 
D00537;9;10;0.930569;0.290323;31 
D00538;4;5;0.868795;0.800000;5 
D00539;0;0;nan;nan;0 
D00542;4;10;0.532621;0.173913;23 
D00543;9;10;0.779908;0.562500;16 
D00544;7;10;0.621499;0.538462;13 
D00545;2;5;0.553146;0.400000;5 
D00546;8;10;0.706544;0.615385;13 
D00547;0;0;nan;nan;0 
D00548;0;0;nan;nan;0 
D00549;0;10;0.000000;0.000000;10 
D00550;1;1;1.000000;1.000000;1 
D00552;5;5;1.000000;1.000000;5 
D00553;5;6;0.852979;0.833333;6 
D00560;1;1;1.000000;1.000000;1 
D00563;6;7;0.908375;0.857143;7 
D00574;0;0;nan;nan;0 
D00593;2;2;1.000000;1.000000;2 
D00594;1;1;0.630930;1.000000;1 
D00607;0;0;nan;nan;0 
